NIK,Nama,Tempat_Lahir,Tanggal_Lahir,Jenis_Kelamin,Alamat,RT_RW,Kel_Desa,Kecamatan,Kab_Kota,Provinsi,Agama,Status_Perkawinan,Pekerjaan,Kewarganegaraan
1879606301803356,HADI PRATAMA,BOGOR,1980-01-23,PEREMPUAN,JL. DUMMY NO. 16,005/004,DESA MAKMUR,KECAMATAN A,SEMARANG,JAWA TIMUR,KRISTEN,BELUM KAWIN,WIRASWASTA,WNI
9567196312536404,GITA SANTOSO,BANDUNG,1953-12-23,PEREMPUAN,JL. DUMMY NO. 196,004/007,DESA MAJU,KECAMATAN B,SEMARANG,JAWA TIMUR,HINDU,BELUM KAWIN,BURUH,WNI
9138896105045715,GITA PRATAMA,BANDUNG,2004-05-21,PEREMPUAN,JL. DUMMY NO. 197,005/006,DESA MAJU,KECAMATAN A,MALANG,JAWA BARAT,ISLAM,BELUM KAWIN,PETANI,WNI
6221684104841451,BUDI SAPUTRA,BOGOR,1984-04-01,PEREMPUAN,JL. DUMMY NO. 28,005/001,DESA SEJAHTERA,KECAMATAN B,BOGOR,JAWA TENGAH,HINDU,BELUM KAWIN,KARYAWAN SWASTA,WNI
9177730301049876,GITA PRATAMA,SEMARANG,2004-01-03,LAKI-LAKI,JL. DUMMY NO. 12,005/008,DESA MAKMUR,KECAMATAN A,SEMARANG,JAWA TENGAH,BUDDHA,KAWIN,BURUH,WNI
6732076903640861,INDRA PERMANA,SEMARANG,1964-03-29,PEREMPUAN,JL. DUMMY NO. 194,010/003,DESA MAJU,KECAMATAN B,BOGOR,JAWA TIMUR,KRISTEN,BELUM KAWIN,PETANI,WNI
7686885002894813,GITA PERMANA,SURABAYA,1989-02-10,PEREMPUAN,JL. DUMMY NO. 92,006/005,DESA SEJAHTERA,KECAMATAN B,SURABAYA,JAWA TIMUR,ISLAM,KAWIN,PETANI,WNI
7173012611512107,CITRA SAPUTRA,BANDUNG,1951-11-26,LAKI-LAKI,JL. DUMMY NO. 155,001/002,DESA MAJU,KECAMATAN B,BOGOR,JAWA TIMUR,HINDU,BELUM KAWIN,KARYAWAN SWASTA,WNI
7691570811853375,JOKO SAPUTRA,BOGOR,1985-11-08,LAKI-LAKI,JL. DUMMY NO. 114,003/006,DESA SEJAHTERA,KECAMATAN A,SEMARANG,JAWA TENGAH,BUDDHA,BELUM KAWIN,BURUH,WNI
1817844808615003,INDRA SANTOSO,MALANG,1961-08-08,PEREMPUAN,JL. DUMMY NO. 159,010/002,DESA SEJAHTERA,KECAMATAN A,BANDUNG,JAWA BARAT,KATOLIK,KAWIN,PETANI,WNI
9600786904904759,CITRA PRATAMA,BOGOR,1990-04-29,PEREMPUAN,JL. DUMMY NO. 182,003/002,DESA SEJAHTERA,KECAMATAN B,BOGOR,JAWA TENGAH,KRISTEN,KAWIN,BURUH,WNI
3363951305905803,INDRA WIJAYA,MALANG,1990-05-13,LAKI-LAKI,JL. DUMMY NO. 45,004/005,DESA MAJU,KECAMATAN C,SEMARANG,JAWA TENGAH,KRISTEN,KAWIN,KARYAWAN SWASTA,WNI
9495101503765427,GITA LESTARI,BANDUNG,1976-03-15,LAKI-LAKI,JL. DUMMY NO. 54,009/008,DESA SEJAHTERA,KECAMATAN C,SEMARANG,JAWA BARAT,ISLAM,KAWIN,KARYAWAN SWASTA,WNI
1283801206939878,CITRA SAPUTRA,BANDUNG,1993-06-12,LAKI-LAKI,JL. DUMMY NO. 132,004/002,DESA MAJU,KECAMATAN B,BANDUNG,JAWA TIMUR,ISLAM,BELUM KAWIN,PETANI,WNI
9346457004781908,FARHAN SAPUTRA,SEMARANG,1978-04-30,PEREMPUAN,JL. DUMMY NO. 148,009/009,DESA SEJAHTERA,KECAMATAN A,SURABAYA,JAWA TIMUR,HINDU,BELUM KAWIN,KARYAWAN SWASTA,WNI
4550855003058468,DEWI SAPUTRA,MALANG,2005-03-10,PEREMPUAN,JL. DUMMY NO. 63,008/005,DESA MAJU,KECAMATAN C,SURABAYA,JAWA TIMUR,ISLAM,KAWIN,BURUH,WNI
9798464210951241,GITA PERMANA,BANDUNG,1995-10-02,PEREMPUAN,JL. DUMMY NO. 50,008/005,DESA SEJAHTERA,KECAMATAN B,BANDUNG,JAWA TIMUR,KRISTEN,KAWIN,WIRASWASTA,WNI
4089065311032923,ADI SAPUTRA,SURABAYA,2003-11-13,PEREMPUAN,JL. DUMMY NO. 11,002/002,DESA SEJAHTERA,KECAMATAN A,MALANG,JAWA TIMUR,BUDDHA,KAWIN,KARYAWAN SWASTA,WNI
7393122804618791,BUDI SAPUTRA,BOGOR,1961-04-28,LAKI-LAKI,JL. DUMMY NO. 195,003/004,DESA MAKMUR,KECAMATAN A,BANDUNG,JAWA TIMUR,BUDDHA,BELUM KAWIN,BURUH,WNI
9064314701557373,HADI LESTARI,BANDUNG,1955-01-07,PEREMPUAN,JL. DUMMY NO. 3,001/006,DESA SEJAHTERA,KECAMATAN B,SURABAYA,JAWA BARAT,ISLAM,KAWIN,PETANI,WNI
4704914903587276,EKO LESTARI,MALANG,1958-03-09,PEREMPUAN,JL. DUMMY NO. 58,002/007,DESA MAKMUR,KECAMATAN A,BANDUNG,JAWA TIMUR,HINDU,KAWIN,PELAJAR/MAHASISWA,WNI
4703092507593867,BUDI PERMANA,BANDUNG,1959-07-25,LAKI-LAKI,JL. DUMMY NO. 197,002/009,DESA SEJAHTERA,KECAMATAN C,MALANG,JAWA BARAT,BUDDHA,KAWIN,KARYAWAN SWASTA,WNI
5652765004758602,GITA PRATAMA,SEMARANG,1975-04-10,PEREMPUAN,JL. DUMMY NO. 199,006/001,DESA SEJAHTERA,KECAMATAN B,SEMARANG,JAWA TIMUR,KATOLIK,KAWIN,KARYAWAN SWASTA,WNI
8099990807715749,JOKO SAPUTRA,SURABAYA,1971-07-08,LAKI-LAKI,JL. DUMMY NO. 137,010/003,DESA SEJAHTERA,KECAMATAN B,BOGOR,JAWA BARAT,KRISTEN,KAWIN,PELAJAR/MAHASISWA,WNI
9178092312758861,INDRA WIJAYA,BOGOR,1975-12-23,LAKI-LAKI,JL. DUMMY NO. 109,010/010,DESA MAJU,KECAMATAN B,SURABAYA,JAWA BARAT,HINDU,BELUM KAWIN,WIRASWASTA,WNI
4602931807590298,INDRA SAPUTRA,BOGOR,1959-07-18,LAKI-LAKI,JL. DUMMY NO. 174,009/001,DESA MAKMUR,KECAMATAN B,MALANG,JAWA TENGAH,BUDDHA,BELUM KAWIN,WIRASWASTA,WNI
1638096609779563,ADI PERMANA,SEMARANG,1977-09-26,PEREMPUAN,JL. DUMMY NO. 153,001/002,DESA MAJU,KECAMATAN C,SEMARANG,JAWA BARAT,BUDDHA,BELUM KAWIN,WIRASWASTA,WNI
5462595406831109,GITA PRATAMA,BANDUNG,1983-06-14,PEREMPUAN,JL. DUMMY NO. 42,005/008,DESA SEJAHTERA,KECAMATAN C,SEMARANG,JAWA BARAT,KRISTEN,KAWIN,KARYAWAN SWASTA,WNI
4789360106000202,CITRA LESTARI,SURABAYA,2000-06-01,LAKI-LAKI,JL. DUMMY NO. 199,004/006,DESA MAJU,KECAMATAN A,BOGOR,JAWA BARAT,ISLAM,KAWIN,PETANI,WNI
3059820210915064,DEWI SANTOSO,SEMARANG,1991-10-02,LAKI-LAKI,JL. DUMMY NO. 23,005/001,DESA MAJU,KECAMATAN C,BOGOR,JAWA BARAT,KRISTEN,BELUM KAWIN,PETANI,WNI
3838124701787960,JOKO SAPUTRA,BANDUNG,1978-01-07,PEREMPUAN,JL. DUMMY NO. 24,001/004,DESA MAKMUR,KECAMATAN B,BANDUNG,JAWA TIMUR,BUDDHA,KAWIN,KARYAWAN SWASTA,WNI
2180296308040531,JOKO SANTOSO,SURABAYA,2004-08-23,PEREMPUAN,JL. DUMMY NO. 27,003/001,DESA MAKMUR,KECAMATAN A,SURABAYA,JAWA TENGAH,BUDDHA,BELUM KAWIN,BURUH,WNI
7757212811735966,INDRA PRATAMA,MALANG,1973-11-28,LAKI-LAKI,JL. DUMMY NO. 35,005/009,DESA MAJU,KECAMATAN C,SURABAYA,JAWA TIMUR,BUDDHA,BELUM KAWIN,WIRASWASTA,WNI
1804126011544464,ADI WIJAYA,BANDUNG,1954-11-20,PEREMPUAN,JL. DUMMY NO. 41,007/001,DESA SEJAHTERA,KECAMATAN B,BANDUNG,JAWA TENGAH,HINDU,BELUM KAWIN,WIRASWASTA,WNI
1220803007700313,DEWI SAPUTRA,SEMARANG,1970-07-30,LAKI-LAKI,JL. DUMMY NO. 44,006/003,DESA SEJAHTERA,KECAMATAN C,BOGOR,JAWA TENGAH,ISLAM,KAWIN,BURUH,WNI
9175450410987529,FARHAN WIJAYA,SEMARANG,1998-10-04,LAKI-LAKI,JL. DUMMY NO. 78,003/002,DESA MAJU,KECAMATAN C,BOGOR,JAWA TIMUR,KRISTEN,KAWIN,KARYAWAN SWASTA,WNI
9841542802765232,INDRA PRATAMA,MALANG,1976-02-28,LAKI-LAKI,JL. DUMMY NO. 38,004/003,DESA MAJU,KECAMATAN B,BANDUNG,JAWA TENGAH,ISLAM,BELUM KAWIN,PETANI,WNI
2215221104617542,ADI SANTOSO,BOGOR,1961-04-11,LAKI-LAKI,JL. DUMMY NO. 115,004/009,DESA MAKMUR,KECAMATAN C,MALANG,JAWA TIMUR,BUDDHA,KAWIN,PELAJAR/MAHASISWA,WNI
6721752110694837,EKO PERMANA,BOGOR,1969-10-21,LAKI-LAKI,JL. DUMMY NO. 168,004/010,DESA SEJAHTERA,KECAMATAN A,BANDUNG,JAWA BARAT,HINDU,KAWIN,PETANI,WNI
4886432108641713,JOKO PRATAMA,SEMARANG,1964-08-21,LAKI-LAKI,JL. DUMMY NO. 9,006/005,DESA SEJAHTERA,KECAMATAN A,SURABAYA,JAWA TIMUR,HINDU,BELUM KAWIN,KARYAWAN SWASTA,WNI
2276891003720906,BUDI SANTOSO,SURABAYA,1972-03-10,LAKI-LAKI,JL. DUMMY NO. 121,006/005,DESA MAKMUR,KECAMATAN A,SURABAYA,JAWA BARAT,BUDDHA,BELUM KAWIN,KARYAWAN SWASTA,WNI
4847046007996722,BUDI PERMANA,BANDUNG,1999-07-20,PEREMPUAN,JL. DUMMY NO. 141,001/010,DESA SEJAHTERA,KECAMATAN A,SURABAYA,JAWA TIMUR,BUDDHA,BELUM KAWIN,KARYAWAN SWASTA,WNI
6637073009591049,DEWI PERMANA,MALANG,1959-09-30,LAKI-LAKI,JL. DUMMY NO. 10,010/010,DESA SEJAHTERA,KECAMATAN C,BOGOR,JAWA TENGAH,BUDDHA,BELUM KAWIN,KARYAWAN SWASTA,WNI
5850027010861138,EKO LESTARI,SURABAYA,1986-10-30,PEREMPUAN,JL. DUMMY NO. 36,002/002,DESA MAJU,KECAMATAN A,BOGOR,JAWA TIMUR,KATOLIK,KAWIN,WIRASWASTA,WNI
5828942610484956,FARHAN SAPUTRA,BOGOR,1948-10-26,LAKI-LAKI,JL. DUMMY NO. 84,003/004,DESA MAJU,KECAMATAN A,BANDUNG,JAWA BARAT,KATOLIK,KAWIN,WIRASWASTA,WNI
1567991707066367,DEWI PERMANA,MALANG,2006-07-17,LAKI-LAKI,JL. DUMMY NO. 64,001/008,DESA SEJAHTERA,KECAMATAN A,BANDUNG,JAWA TIMUR,ISLAM,BELUM KAWIN,WIRASWASTA,WNI
8241676612583912,ADI PERMANA,MALANG,1958-12-26,PEREMPUAN,JL. DUMMY NO. 137,006/001,DESA MAJU,KECAMATAN A,SEMARANG,JAWA BARAT,ISLAM,KAWIN,KARYAWAN SWASTA,WNI
6740220512945497,INDRA WIJAYA,MALANG,1994-12-05,LAKI-LAKI,JL. DUMMY NO. 136,007/006,DESA MAJU,KECAMATAN C,MALANG,JAWA TIMUR,BUDDHA,KAWIN,WIRASWASTA,WNI
7175523006716918,FARHAN PERMANA,SURABAYA,1971-06-30,LAKI-LAKI,JL. DUMMY NO. 34,006/008,DESA MAJU,KECAMATAN A,SURABAYA,JAWA BARAT,KATOLIK,KAWIN,PETANI,WNI
3612991409527124,GITA SANTOSO,MALANG,1952-09-14,LAKI-LAKI,JL. DUMMY NO. 144,009/010,DESA MAKMUR,KECAMATAN B,MALANG,JAWA TENGAH,ISLAM,KAWIN,KARYAWAN SWASTA,WNI
3863014709026534,CITRA SANTOSO,MALANG,2002-09-07,PEREMPUAN,JL. DUMMY NO. 127,008/008,DESA SEJAHTERA,KECAMATAN C,BOGOR,JAWA BARAT,BUDDHA,KAWIN,BURUH,WNI
4746382908484403,FARHAN PERMANA,SURABAYA,1948-08-29,LAKI-LAKI,JL. DUMMY NO. 153,005/002,DESA MAJU,KECAMATAN B,BANDUNG,JAWA BARAT,ISLAM,KAWIN,PETANI,WNI
9857637001602293,FARHAN SANTOSO,SEMARANG,1960-01-30,PEREMPUAN,JL. DUMMY NO. 132,005/006,DESA MAKMUR,KECAMATAN A,BANDUNG,JAWA TENGAH,KATOLIK,BELUM KAWIN,PETANI,WNI
8253666210686412,CITRA LESTARI,BOGOR,1968-10-22,PEREMPUAN,JL. DUMMY NO. 47,005/001,DESA MAJU,KECAMATAN C,BOGOR,JAWA BARAT,HINDU,KAWIN,PETANI,WNI
4126746309746954,BUDI WIJAYA,MALANG,1974-09-23,PEREMPUAN,JL. DUMMY NO. 181,003/008,DESA MAJU,KECAMATAN C,MALANG,JAWA TENGAH,HINDU,BELUM KAWIN,KARYAWAN SWASTA,WNI
3423242501961274,GITA WIJAYA,SEMARANG,1996-01-25,LAKI-LAKI,JL. DUMMY NO. 68,005/008,DESA MAJU,KECAMATAN A,BOGOR,JAWA TENGAH,ISLAM,KAWIN,PELAJAR/MAHASISWA,WNI
4422416507585839,JOKO PERMANA,SURABAYA,1958-07-25,PEREMPUAN,JL. DUMMY NO. 166,006/005,DESA MAJU,KECAMATAN C,MALANG,JAWA TIMUR,BUDDHA,KAWIN,BURUH,WNI
7828646605485174,DEWI PERMANA,BOGOR,1948-05-26,PEREMPUAN,JL. DUMMY NO. 63,007/007,DESA MAKMUR,KECAMATAN A,MALANG,JAWA BARAT,ISLAM,BELUM KAWIN,KARYAWAN SWASTA,WNI
6612414110997953,CITRA SAPUTRA,BOGOR,1999-10-01,PEREMPUAN,JL. DUMMY NO. 104,008/007,DESA MAKMUR,KECAMATAN B,SEMARANG,JAWA TENGAH,HINDU,BELUM KAWIN,KARYAWAN SWASTA,WNI
6711784611874472,DEWI WIJAYA,BOGOR,1987-11-06,PEREMPUAN,JL. DUMMY NO. 53,001/005,DESA MAJU,KECAMATAN A,BANDUNG,JAWA BARAT,KRISTEN,KAWIN,WIRASWASTA,WNI
4444934206585247,JOKO SANTOSO,MALANG,1958-06-02,PEREMPUAN,JL. DUMMY NO. 65,006/003,DESA MAJU,KECAMATAN C,MALANG,JAWA TIMUR,KRISTEN,BELUM KAWIN,BURUH,WNI
5248267008522368,EKO SANTOSO,SEMARANG,1952-08-30,PEREMPUAN,JL. DUMMY NO. 188,007/006,DESA MAJU,KECAMATAN C,SURABAYA,JAWA BARAT,BUDDHA,KAWIN,KARYAWAN SWASTA,WNI
9379765006738618,ADI LESTARI,SURABAYA,1973-06-10,PEREMPUAN,JL. DUMMY NO. 129,010/005,DESA MAJU,KECAMATAN A,SURABAYA,JAWA BARAT,BUDDHA,KAWIN,KARYAWAN SWASTA,WNI
5315461007478089,DEWI SAPUTRA,SURABAYA,1947-07-10,LAKI-LAKI,JL. DUMMY NO. 119,003/001,DESA MAKMUR,KECAMATAN C,BOGOR,JAWA TIMUR,BUDDHA,BELUM KAWIN,WIRASWASTA,WNI
8824720812657313,DEWI SANTOSO,SEMARANG,1965-12-08,LAKI-LAKI,JL. DUMMY NO. 189,008/003,DESA MAKMUR,KECAMATAN A,SEMARANG,JAWA BARAT,KRISTEN,KAWIN,KARYAWAN SWASTA,WNI
4476976904018140,GITA WIJAYA,BOGOR,2001-04-29,PEREMPUAN,JL. DUMMY NO. 199,009/007,DESA MAKMUR,KECAMATAN A,SEMARANG,JAWA BARAT,HINDU,BELUM KAWIN,PETANI,WNI
6633896005853290,EKO SANTOSO,SEMARANG,1985-05-20,PEREMPUAN,JL. DUMMY NO. 171,007/009,DESA MAKMUR,KECAMATAN C,MALANG,JAWA TENGAH,ISLAM,BELUM KAWIN,KARYAWAN SWASTA,WNI
9604944610727532,EKO SANTOSO,BOGOR,1972-10-06,PEREMPUAN,JL. DUMMY NO. 194,003/004,DESA MAJU,KECAMATAN C,SURABAYA,JAWA TIMUR,ISLAM,KAWIN,PETANI,WNI
8800980205008559,ADI SANTOSO,MALANG,2000-05-02,LAKI-LAKI,JL. DUMMY NO. 194,007/002,DESA MAKMUR,KECAMATAN A,SEMARANG,JAWA BARAT,KATOLIK,BELUM KAWIN,KARYAWAN SWASTA,WNI
9863031601516628,CITRA PRATAMA,BOGOR,1951-01-16,LAKI-LAKI,JL. DUMMY NO. 31,006/001,DESA MAKMUR,KECAMATAN C,BANDUNG,JAWA BARAT,KATOLIK,KAWIN,BURUH,WNI
5663593003080526,GITA PRATAMA,SEMARANG,2008-03-30,LAKI-LAKI,JL. DUMMY NO. 137,008/001,DESA MAJU,KECAMATAN C,BOGOR,JAWA TIMUR,KATOLIK,BELUM KAWIN,WIRASWASTA,WNI
6450736201822367,FARHAN WIJAYA,BANDUNG,1982-01-22,PEREMPUAN,JL. DUMMY NO. 118,007/008,DESA SEJAHTERA,KECAMATAN A,SEMARANG,JAWA BARAT,KATOLIK,KAWIN,BURUH,WNI
5674055204905504,ADI WIJAYA,BANDUNG,1990-04-12,PEREMPUAN,JL. DUMMY NO. 174,010/002,DESA SEJAHTERA,KECAMATAN C,BOGOR,JAWA TIMUR,BUDDHA,BELUM KAWIN,WIRASWASTA,WNI
6138964705982712,JOKO SANTOSO,SEMARANG,1998-05-07,PEREMPUAN,JL. DUMMY NO. 122,003/005,DESA SEJAHTERA,KECAMATAN B,BANDUNG,JAWA TIMUR,BUDDHA,KAWIN,PETANI,WNI
8206023103885839,DEWI SANTOSO,MALANG,1988-03-31,LAKI-LAKI,JL. DUMMY NO. 43,009/009,DESA MAJU,KECAMATAN C,MALANG,JAWA TENGAH,KATOLIK,KAWIN,KARYAWAN SWASTA,WNI
5440611308960146,GITA WIJAYA,BOGOR,1996-08-13,LAKI-LAKI,JL. DUMMY NO. 136,003/002,DESA MAJU,KECAMATAN B,SURABAYA,JAWA BARAT,KATOLIK,BELUM KAWIN,PELAJAR/MAHASISWA,WNI
4628941205995527,JOKO SAPUTRA,SURABAYA,1999-05-12,LAKI-LAKI,JL. DUMMY NO. 12,009/005,DESA MAKMUR,KECAMATAN B,SURABAYA,JAWA TIMUR,BUDDHA,BELUM KAWIN,BURUH,WNI
6170716001525502,DEWI SANTOSO,MALANG,1952-01-20,PEREMPUAN,JL. DUMMY NO. 8,004/002,DESA MAJU,KECAMATAN A,SURABAYA,JAWA TIMUR,BUDDHA,BELUM KAWIN,BURUH,WNI
5855240805534918,FARHAN PERMANA,BANDUNG,1953-05-08,LAKI-LAKI,JL. DUMMY NO. 67,001/006,DESA SEJAHTERA,KECAMATAN C,BOGOR,JAWA TIMUR,HINDU,KAWIN,WIRASWASTA,WNI
6383531101619817,JOKO SAPUTRA,BANDUNG,1961-01-11,LAKI-LAKI,JL. DUMMY NO. 164,003/002,DESA SEJAHTERA,KECAMATAN C,SURABAYA,JAWA TIMUR,ISLAM,BELUM KAWIN,PETANI,WNI
6647560305029640,FARHAN PERMANA,SURABAYA,2002-05-03,LAKI-LAKI,JL. DUMMY NO. 93,008/010,DESA SEJAHTERA,KECAMATAN A,MALANG,JAWA TENGAH,BUDDHA,BELUM KAWIN,KARYAWAN SWASTA,WNI
